sentiment,text
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in afghanistan and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in åland islands and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in albania and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in algeria and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in american samoa and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in andorra and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in angola and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in anguilla and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in antarctica and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in antigua and barbuda and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in argentina and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in armenia and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in aruba and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in australia and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in austria and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in azerbaijan and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in bahamas (the) and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in bahrain and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in bangladesh and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in barbados and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in belarus and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in belgium and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in belize and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in benin and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in bermuda and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in bhutan and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in bhutan and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in bolivia (plurinational state of) and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in bolivia (plurinational state of) and is on the executive committee of Outotec
neutral,"Mr Jortikka is president of the base metal division of Outotec Oyj in bonaire, sint eustatius and saba and is on the executive committee of Outotec"
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in bosnia and herzegovina and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in botswana and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in bouvet island and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in brazil and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in british indian ocean territory (the) and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in brunei darussalam and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in bulgaria and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in burkina faso and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in burundi and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in cabo verde and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in cambodia and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in cameroon and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in canada and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in cayman islands (the) and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in central african republic (the) and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in chad and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in chile and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in chile and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in china and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in christmas island and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in cocos (keeling) islands (the) and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in colombia and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in colombia and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in comoros (the) and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in congo (the democratic republic of the) and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in congo (the) and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in cook islands (the) and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in costa rica and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in côte d'ivoire and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in croatia and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in cuba and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in cuba and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in curaçao and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in cyprus and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in czechia and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in denmark and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in djibouti and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in dominica and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in dominican republic (the) and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in ecuador and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in egypt and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in el salvador and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in el salvador and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in equatorial guinea and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in eritrea and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in estonia and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in eswatini and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in ethiopia and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in european union and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in falkland islands (the) [malvinas] and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in faroe islands (the) and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in fiji and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in finland and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in france and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in french guiana and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in french polynesia and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in french southern territories (the) and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in gabon and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in gambia (the) and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in georgia and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in germany and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in ghana and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in gibraltar and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in greece and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in greenland and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in grenada and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in guadeloupe and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in guam and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in guatemala and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in guernsey and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in guinea and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in guinea-bissau and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in guyana and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in haiti and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in haiti and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in heard island and mcdonald islands and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in holy see (the) and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in honduras and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in hong kong and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in hungary and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in iceland and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in india and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in indonesia and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in international monetary fund (imf) and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in iran (islamic republic of) and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in iraq and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in ireland and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in isle of man and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in israel and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in italy and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in jamaica and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in japan and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in jersey and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in jordan and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in kazakhstan and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in kenya and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in kiribati and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in korea (the democratic people's republic of) and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in korea (the republic of) and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in kuwait and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in kyrgyzstan and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in lao people's democratic republic (the) and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in latvia and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in lebanon and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in lesotho and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in lesotho and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in liberia and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in libya and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in liechtenstein and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in lithuania and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in luxembourg and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in macao and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in north macedonia and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in madagascar and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in malawi and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in malaysia and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in maldives and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in mali and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in malta and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in marshall islands (the) and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in martinique and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in mauritania and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in mauritius and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in mayotte and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in member countries of the african development bank group and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in mexico and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in mexico and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in micronesia (federated states of) and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in moldova (the republic of) and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in monaco and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in mongolia and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in montenegro and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in montserrat and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in morocco and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in mozambique and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in myanmar and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in namibia and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in namibia and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in nauru and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in nepal and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in netherlands (the) and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in new caledonia and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in new zealand and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in nicaragua and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in niger (the) and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in nigeria and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in niue and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in norfolk island and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in northern mariana islands (the) and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in norway and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in oman and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in pakistan and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in palau and is on the executive committee of Outotec
neutral,"Mr Jortikka is president of the base metal division of Outotec Oyj in palestine, state of and is on the executive committee of Outotec"
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in panama and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in panama and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in papua new guinea and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in paraguay and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in peru and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in philippines (the) and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in pitcairn and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in poland and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in portugal and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in puerto rico and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in qatar and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in réunion and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in romania and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in russian federation (the) and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in rwanda and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in saint barthélemy and is on the executive committee of Outotec
neutral,"Mr Jortikka is president of the base metal division of Outotec Oyj in saint helena, ascension and tristan da cunha and is on the executive committee of Outotec"
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in saint kitts and nevis and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in saint lucia and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in saint martin (french part) and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in saint pierre and miquelon and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in saint vincent and the grenadines and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in samoa and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in san marino and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in sao tome and principe and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in saudi arabia and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in senegal and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in serbia and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in seychelles and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in sierra leone and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in singapore and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in sint maarten (dutch part) and is on the executive committee of Outotec
neutral,"Mr Jortikka is president of the base metal division of Outotec Oyj in sistema unitario de compensacion regional de pagos ""sucre"" and is on the executive committee of Outotec"
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in slovakia and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in slovenia and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in solomon islands and is on the executive committee of Outotec
